classe,caso,resultado,duracao_segundos
com.tripcontrol.repository.jdbc.JdbcReservaRepositoryIT,persisteCancelamento,PASSOU,0.005
com.tripcontrol.repository.jdbc.JdbcReservaRepositoryIT,versaoAvancaACadaGravacao,PASSOU,0.005
com.tripcontrol.repository.jdbc.JdbcReservaRepositoryIT,detectaAlteracaoConcorrente,PASSOU,0.007
com.tripcontrol.repository.jdbc.JdbcUsuarioRepositoryIT,exigeCpf,PASSOU,0.001
com.tripcontrol.repository.jdbc.JdbcUsuarioRepositoryIT,gravaERecupera,PASSOU,0.118
com.tripcontrol.repository.jdbc.JdbcUsuarioRepositoryIT,persisteUsuarioInativo,PASSOU,0.053
com.tripcontrol.repository.jdbc.RelatorioJdbcIT,reservasConcluidaEDerivada,PASSOU,0.03
com.tripcontrol.repository.jdbc.RelatorioJdbcIT,reservasPorCliente,PASSOU,0.015
com.tripcontrol.repository.jdbc.RelatorioJdbcIT,ocupacaoPorSituacaoEPercentual,PASSOU,0.024
com.tripcontrol.repository.jdbc.RelatorioJdbcIT,pacotesMaisProcurados,PASSOU,0.014
com.tripcontrol.repository.jdbc.RelatorioJdbcIT,pagamentosDoPacote,PASSOU,0.025
com.tripcontrol.repository.jdbc.RelatorioJdbcIT,rankingRespeitaOTamanho,PASSOU,0.012
com.tripcontrol.repository.jdbc.RelatorioJdbcIT,pagamentosPorFormaEPeriodo,PASSOU,0.019
com.tripcontrol.repository.jdbc.RelatorioJdbcIT,reservasFa03SemDados,PASSOU,0.011
com.tripcontrol.repository.jdbc.RelatorioJdbcIT,ocupacaoDosPacotes,PASSOU,0.01
com.tripcontrol.repository.jdbc.RelatorioJdbcIT,clientesComViagensConcluidas,PASSOU,0.011
com.tripcontrol.repository.jdbc.RelatorioJdbcIT,clientesPorPreferenciaEMinimo,PASSOU,0.012
com.tripcontrol.repository.jdbc.RelatorioJdbcIT,pagamentosPorSituacaoFinanceira,PASSOU,0.012
com.tripcontrol.repository.jdbc.RelatorioJdbcIT,reservasPorPacoteESituacao,PASSOU,0.011
